,positions,locations,company_names,posted_dates,descriptions
4,Senior Data Analyst (Data Scientist),"Reading, PA, USA",Penske Truck Leasing,Posted 60+ days ago,"Senior Data Analyst (Data Scientist) (Job Number: 2218578 ) Position Summary: The Data Scientist/Senior Business Analyst - HR position will provide historical and predictive analytical support for the Human Resources business initiatives by providing insight to differences in our associate population, providing visibility to HR processes, measuring the impact of HR initiatives and establishing linkages to business performance. Analysis activity will include scenario planning, modeling and correl"
5,National Security Data Scientist/Statistical Research Programmer,"Santa Monica, CA, USA",RAND Corporation,Posted 60+ days ago,"Job Type: Regular The RAND Corporation seeks National Security Data Scientists and Statistical Research Programmers to conduct data-focused research and analysis on a variety of national security-focused issues across our federally funded research and development centers (FFRDCs). Data scientists and statistical research programmers at RAND are integral members of RAND research teams focused on creating, managing, analyzing, and visualizing complex data using innovative methodologies to suppor"
6,"Data Scientist in Huntsville, AL - Secret cleared","Huntsville, AL, USA",Deloitte,Posted 60+ days ago,"Are you looking to make an impact by helping agencies meet their mission goals through successful implementation and operation of their regulatory, mission or compliance programs? Are you ready to help our clients mitigate risks that arise from transformational core business operational change or ongoing operations? Are you interested in helping clients transform how they operate their business to be more effective? If so, Deloitte's Regulatory Compliance team could be the place for you! Our tea"
7,IT Data Scientist,"Princeton, NJ, USA",ETS (Educational Testing Service),Posted 60+ days ago,"Job Description: Position Summary: ETS seeks several candidates to join a data scientist on the newly formed AI Development team. The positions will play a critical role in building machine learning (ML) and deep learning models to advance ETS's mission to advance education equity through quality and fair assessments. Potential projects will include analyzing data from multiple contexts, including text, audio, and video. The work environment is highly collaborative and cross-functional, includin"
8,Data Scientist,"Baltimore, MD, USA",Labcorp,Posted 60+ days ago,"Labcorp is currently seeking an extraordinary, highly motivated Data Scientist to join our Bioinformatics team, with a focus on development and evaluation of emerging technologies for tissue and cell-free DNA liquid biopsy approaches. The successful candidate will analyze and evaluate data from our diagnostic assays for research and clinical use. The candidate will also facilitate the early development and validation of laboratory based diagnostic analyses. RESPONSIBILITIES: Provides analytica"
9,Senior Data Scientist,Remote,DynPro Inc.,Posted 60+ days ago,"**Healthcare experience is highly preferred** Responsibilities Integrate disparate data sets, conduct exploratory analysis, and create actionable insights for quality assurance and patient care improvement. Transfer and streamline existing healthcare data flows with focus on automation of processes wherever possible Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts (Python) that will make data evaluation processes more flexible/scalable acro"
10,Machine Learning Engineer/Data Scientist,"New York, NY, USA",SPECTRAFORCE TECHNOLOGIES Inc.,Posted 60+ days ago,"Role: Machine Learning Engineer Location: Boston, MA/NYC, NY/Jersey City, NJ/Westlake, TX (Hybrid, 3 Days onsite/Month) Duration: 15 Months W2 Only Must Haves: Python (programing building a model EDA and data analytic)Analytics – analytical mindset to find out patternsSnowflake – Big DataThe Expertise and Skills You BringBS/MS in Engineering, Computer Science or Data Science5-7 years of enterprise development and a desire to work on a fast-paced development team with the experience of handling"
11,Data Scientist / Python,"Grand Junction, CO, USA",Motion Recruitment,Posted 60+ days ago,"Job Description The Nations unrivaled leader in news and sports radio happen to be the #1 creator of live, original, local audio content. This company offers integrated marketing solutions while delivering the power of local connection on a national scale. They are currently looking to bring on a data driven person (whether that be on the science end or analytical end) who can help build a system to analyze radio data. This data will help their sales team better target consumers for advertisemen"
12,Data Scientist,"Tampa, FL, USA",Redhorse Corporation,Posted 60+ days ago,"Redhorse Corporation is building a cross-functional team to support the United States Central Command (USCENTCOM) Directorate of Logistics (CCJ4) and help to accelerate the delivery of AI-enabled capabilities and to synchronize AI activities in order to expand customer advantages. This effort supports the Joint Logistics Enterprise in support of USCENTCOM missions in order to promote cooperation among nations, respond to crisis, deter and defeat trans-regional aggression, while support the devel"
13,Senior Data Scientist,"Pittsburgh, PA, USA",BNY Mellon Corporation,Posted 60+ days ago,"Overview Participate on a team to apply scientific method to find solutions to real business problems. Perform data analysis, feature engineering and advanced methods to prepare and develop decisions from data. Leverage simple to advanced data techniques to support the team to deliver data analytic products for the firm.Performs analytics in support of the identification and understanding observed business outcomes. Collaborates with others to deliver on hypothesis testing and developing the mat"
14,Senior Data Scientist,"Pittsburgh, PA, USA",BNY Mellon Corporation,Posted 60+ days ago,"Overview Participate on a team to apply scientific method to find solutions to real business problems. Perform data analysis, feature engineering and advanced methods to prepare and develop decisions from data. Leverage simple to advanced data techniques to support the team to deliver data analytic products for the firm.Performs analytics in support of the identification and understanding observed business outcomes. Collaborates with others to deliver on hypothesis testing and developing the mat"
15,Data Scientist,"Arlington, VA, USA",MAXAR Technologies,Posted 60+ days ago,"Please review the job details below. Maxar's Data Science Services team is looking for a Data Scientist. We use a robust, flexible framework developed by our Applied Machine Learning team to deliver impactful and imaginative solutions to our internal and external partners. We are always on the lookout for the next innovative idea to help our customers discover the art of the possible, as well as how to scale those ideas for future endeavors. Life with Us Project:The Data Scientist is expected"
16,Data Scientist,"Arlington, VA, USA",MAXAR Technologies,Posted 60+ days ago,"Please review the job details below. Maxar's Data Science Services team is looking for a Data Scientist. We use a robust, flexible framework developed by our Applied Machine Learning team to deliver impactful and imaginative solutions to our internal and external partners. We are always on the lookout for the next innovative idea to help our customers discover the art of the possible, as well as how to scale those ideas for future endeavors. Life with Us Project:The Data Scientist is expected"
17,Data Scientist,"Columbus, OH, USA",OpTech,Posted 60+ days ago,"""Candidate must a W2 employee not requiring current or future sponsorship"". This is Contract - Hire role. Seeking for candidates with below experience: 4-5 years related work experience, including two to three years specializing in machine learning and cloud computing.Intermediate proficiency in one or more programming languages, including R, Python, Spark, and othersMaster’s degree or above in Statistics, Economics, Data Science, or related field.Outstanding written and verbal communication ski"
18,Data and Visualization Analyst/ Senior Data Scientist,"Wallingford, CT, USA",Kapital Data Corp,Posted 27 days ago,"Job Description: This role seeks a Senior Data Scientist to work as part of a small team focused on developing business intelligence capabilities. We are searching for an individual who will bring their advanced data analytics skills and experience, their intellectual curiosity, and their high standards to collaborate with colleagues across the organization in support of utilization management, community health and health equity, advocacy, and quality and patient safety. The team provides state"
19,Junior Data Scientist,"Boston, MA, USA",The Depository Trust & Clearing Corporation,Posted 60+ days ago,"About DTCC: With over 40 years of experience, DTCC is the premier post-trade market infrastructure for the global financial services industry. From operating facilities and data centers around the world, DTCC automates, centralizes, and standardizes the processing of financial transactions across the trade lifecycle and mitigates risk for thousands of institutions worldwide. At DTCC we value on our clients' interests and partner to deliver superior results with excellence and innovation and lea"
0,Data Analyst/Engineer/Scientist,Remote,RightTalents,Posted 4 days ago,"Job Title: Data Analyst/Engineer/Scientist Location: Remote Duration: 12 months Job Responsibilities: Working closely with business stakeholders and product owners on requirement gathering & assessment.Working with QA & Business Analysts on Integration & User Acceptance Testing.Working using Agile Delivery Methodology, to deliver in Quick Delivery Cycles.Developing Power BI datasets, dataflows and dashboard creation from various data sources.Developing visual reports, dashboards and KPI scorecar"
1,Data Scientist w/ Oracle Data Mining exp - Remote,Remote,Verism Systems,Posted 60+ days ago,"MUST HAVE SKILLS: Oracle Advanced AnalyticsOracle Data MiningOracle query performance tuning and indexing MUST HAVE ORACLE DATA MINING EXPERIENCE Minimum Qualifications: • 4 years of professional experience in Oracle Data Mining • 5 years of experience in performing advanced analytics inside Oracle • 5 years of experience in Natural Language Processing (NLP) • BA/BS in Business, Engineering, Computer Science/Information Systems or equivalent • 3-5 years of experience in using relational data"
2,Data Scientist,"Remote or Boston, MA, USA","Galaxy i Technologies, Inc.",Posted 60+ days ago,"Hi, Please, let me know if you are available or interested in the following position by replying to me with Your :- 1. Updated Resume 2. Work Authorization 3. Experience 4. Hourly Rate/Salary Expectations. 5. Current Location W2 Contract only, No C2C please. Note: All Visa types are Accepted and Long term Contract DATA SCIENTIST LOCATION: Boston, MA We are currently sourcing for an Data Scientist to work in Boston, MA QUALIFICATION Preferred Master's Degree in Engineering, Computer Scienc"
3,Data Scientist - Oracle Data Mining,Remote,"Sunrise Systems, Inc.",Posted 60+ days ago,"OPEN TO BOTH LOCAL AND NON-LOCAL CANDIDATES* 100% REMOTE *EQUIPMENT REQUIRED: Laptop, stable and reliable internet connection, mobile phone TOP THINGS: Oracle Advanced AnalyticsOracle Data MiningOracle query performance tuning and indexing PLEASE NOTE: The HM DOES NOT WANT to see profiles that do not have Oracle data mining experience. He absolutely DOES NOT NEED python-based data science experience. PLEASE DO NOT HIGHLIGHT PYTHON BASED EXPERIENCE WHEN SUBMITTING. Department Overview Join a"
4,"Principal, Data Scientist","Wellesley, MA, USA",BNY Mellon Corporation,Posted 60+ days ago,"Overview Provides technical and organizational leadership across multiple areas the organizational and functional effectiveness of data science products. Responsible for growing, promoting and deploying the effective utilization of data products in support of the strategic priorities. Develop organizational leadership in techniques and methods to support data decisioning. Develop and communicate insights leveraging the scientific method. Roles may specialize into 3 domain specialties: model scie"
5,"Principal, Data Scientist","New York, NY, USA",BNY Mellon Corporation,Posted 60+ days ago,"Overview Provides technical and organizational leadership across multiple areas the organizational and functional effectiveness of data science products. Responsible for growing, promoting and deploying the effective utilization of data products in support of the strategic priorities. Develop organizational leadership in techniques and methods to support data decisioning. Develop and communicate insights leveraging the scientific method. Roles may specialize into 3 domain specialties: model scie"
6,"Principal, Data Scientist","Boston, MA, USA",BNY Mellon Corporation,Posted 60+ days ago,"Overview Provides technical and organizational leadership across multiple areas the organizational and functional effectiveness of data science products. Responsible for growing, promoting and deploying the effective utilization of data products in support of the strategic priorities. Develop organizational leadership in techniques and methods to support data decisioning. Develop and communicate insights leveraging the scientific method. Roles may specialize into 3 domain specialties: model scie"
7,"Principal, Data Scientist","Jersey City, NJ, USA",BNY Mellon Corporation,Posted 60+ days ago,"Overview Provides technical and organizational leadership across multiple areas the organizational and functional effectiveness of data science products. Responsible for growing, promoting and deploying the effective utilization of data products in support of the strategic priorities. Develop organizational leadership in techniques and methods to support data decisioning. Develop and communicate insights leveraging the scientific method. Roles may specialize into 3 domain specialties: model scie"
8,Data Scientist,Remote,Entelli Consulting LLC,Posted 60+ days ago,"POSITION: DATA SCIENTIST LOCATION: REMOTE (Remote but near preferred locations: Boston, Waltham, MA, Chicago, Montvale, NJ) TYPE: FULL TIME/DIRECT HIRE – W2/NO SPONSORSHIP AVAILABLE Our direct client, a leader in the global travel industry is looking for a Data Scientist where you will be working closely with fellow data scientists, engineers, and business leaders across all domains leisure business globally. You will be hands-on in developing and deploying machine learning algorithms, fore"
9,2023 SETUP Technology Full Time Program - Data Scientist - New York,"New York, NY, USA",BNY Mellon Corporation,Posted 60+ days ago,"Overview BNY Mellon offers an exciting array of future-forward careers at the intersection of business, finance and technology. Known as the -bank of banks- - 97% of the world-s top banks work with us as we lead and serve our customers into the new era of digital. With over 237 years of rich history and industry firsts, BNY Mellon has been built upon our ability to evolve, lead and drive new ideas at every turn. Today, we-re more than 50k+ employees across 35 countries with a culture that empowe"
10,2023 SETUP Technology Full Time Program - Data Scientist - New York,"Jersey City, NJ, USA",BNY Mellon Corporation,Posted 60+ days ago,"Overview BNY Mellon offers an exciting array of future-forward careers at the intersection of business, finance and technology. Known as the -bank of banks- - 97% of the world-s top banks work with us as we lead and serve our customers into the new era of digital. With over 237 years of rich history and industry firsts, BNY Mellon has been built upon our ability to evolve, lead and drive new ideas at every turn. Today, we-re more than 50k+ employees across 35 countries with a culture that empowe"
11,2023 SETUP Technology Full Time Program - Data Scientist - PGH,"Pittsburgh, PA, USA",BNY Mellon Corporation,Posted 60+ days ago,"Overview BNY Mellon offers an exciting array of future-forward careers at the intersection of business, finance and technology. Known as the -bank of banks- - 97% of the world-s top banks work with us as we lead and serve our customers into the new era of digital. With over 237 years of rich history and industry firsts, BNY Mellon has been built upon our ability to evolve, lead and drive new ideas at every turn. Today, we-re more than 50k+ employees across 35 countries with a culture that empowe"
12,Senior Data Scientist / ML Engineer,Remote,Aurum Data Solutions,Posted 60+ days ago,"Senior Data Scientist / ML Engineer Location: Remote Duration: Long Term Bachelor's or Master’s degree in computer science or related subject area with 6+ industry experience10 Years overall IT experience and 5+ years of demonstrated professional experience in Machine Learning and Data Science.Expert in Python and advanced SQL (these two are primary scripting tools)Working experience with Python, Pyspark, Machine learning (Supervised & Unsupervised) and deep learning frameworks like Scikit-le"
13,Remote Data Scientist (Credit Risk),Remote,"Zachary Piper Solutions, LLC",Posted 60+ days ago,"Piper Companies is seeking a Remote Data Scientist (Credit Risk) to join one of the nation's largest federal credit unions located in McLean, VA. The Data Scientist will manage the risk function for all credit businesses to then approve the right clientele and minimize risk. Responsibilities for the Data Scientist include: • Acting as a gatekeeper to determine who gets a loan and what the terms will be • Work to minimize the risk of loss or default by approving the right clientele using risk mod"
14,Bilingual Data Scientist (REMOTE),"Plano, TX, USA",Calance,Posted 60+ days ago,"FOR IMMEDIATE DETAILS about this position, please feel free to contact ANY of us: Recruiting Contacts: KIANA AREVALO// SUMIT KUMAR// MICHELL CASEY// = ** We will NOT accept 3rd Party (C2C) Contractors ** = Position:Bilingual Data Scientist (REMOTE) JOB REF#:1128603 Duration:12+ Months (On-going Contract) Location:REMOTE Rate:Open/Market Rate (W2 ONLY) This role is 100% REMOTE ** Data Scientist will support Financial Risk teams for Mexico, Argentina and sometimes Brazil. They will be develop"
15,ChemBio Data Scientist,"Livermore, CA, USA",Lawrence Livermore National Laboratory,Posted 60+ days ago,"Company Description Join us and make YOUR mark on the World! Are you interested in joining some of the brightest talent in the world to strengthen the United States' security? Come join Lawrence Livermore National Laboratory (LLNL) where our employees apply their expertise to create solutions for BIG ideas that make our world a better place. We are committed to a diverse and equitable workforce with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, e"
16,Actuarial Data Scientist - Remote,"Remote or Lincoln, RI, USA",Amica,Posted 60+ days ago,"Actuarial Data Scientist- Remote (Enterprise Data Solutions) 25 Amica Way, Lincoln, RI 02865 Want to join a company where doing good is what we do? The feeling is mutual! We're redefining excellent customer experiences. Data drives that process. As a Data Scientist, you will be working alongside actuaries and other data professionals to build and evaluate our pricing and other enterprise models. Beyond the data, you'll have the opportunity to communicate findings and trends to key stakeholder"
17,Data Scientist,,Synapse Business Systems,Posted 60+ days ago,"Responsibilities: Research and implement custom statistical models and machine learning algorithms. Create hypothesis for statistical experiments and execute A/B testing to determine the validity and usefulness of the experiment. Extract, transform, and cleanse structured & un-structured data to be used for machine learning models or statistical analysis. Work with stakeholders, identifying opportunities for leveraging data to solve for business challenges. Identify valuable data sources / data"
18,Satellite Observational Data Assimilation Scientist,"College Park, MD, USA",SAIC,Posted 59 days ago,"Job ID: 2216036 Location: COLLEGE PARK , MD , US Date Posted: 2022-11-17 Category: Engineering and Sciences Subcategory: Scientist Schedule: Full-time Shift: Day Job Travel: No Minimum Clearance Required: None Clearance Level Must Be Able to Obtain: Public Trust Potential for Remote Work: No Description SAIC is looking for Satellite Observational Data Assimilation Scientist to support the Environmental Modeling Center (EMC) of the National Centers for Environmental Prediction (NCEP) in"
19,Satellite Data Assimilation Scientist,"College Park, MD, USA",SAIC,Posted 59 days ago,"Job ID: 2216035 Location: COLLEGE PARK , MD , US Date Posted: 2022-10-26 Category: Engineering and Sciences Subcategory: Scientist Schedule: Full-time Shift: Day Job Travel: No Minimum Clearance Required: None Clearance Level Must Be Able to Obtain: Public Trust Potential for Remote Work: No Description SAIC is looking for a Satellite Data Assimilation Scientist to support a candidate to support the Environmental Modeling Center (EMC) of the National Centers for Environmental Predictio"
0,Data Scientist IV,Remote,SGS Consulting,Posted 60+ days ago,"Summary: The main function of the Data Scientist is to produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. Job Responsibilities: • Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement. • Use a flexible, analytical approach"
1,Data Scientist,"Charlotte, NC, USA",AccruePartners,Posted 60+ days ago,"Data Scientist in Charlotte, NC Posted 06/13/22 THE TEAM YOU WILL BE JOINING: Fortune 100 Financial Services Company 100-year history of dedication to customer satisfaction, success and growth Tremendous growth and new business strategy leading to the need for new talent Significant investments in cutting-edge technology WHAT THEY OFFER YOU: Culture: Excellent work environment that fosters collaboration Growth: Ability to make an impact on the direction of the organization Opportunity: Gain hand"
2,Senior Data Scientist,Remote,New York Life Insurance Company,Posted 60+ days ago,"Location Designation: Remote When you join New York Life, you're joining a company that values career development, collaboration, innovation, and inclusiveness. We want employees to feel proud about being part of a company that is committed to doing the right thing. You'll have the opportunity to grow your career while developing personally and professionally through various resources and programs. New York Life is a relationship-based company and appreciates how both virtual and in-person inter"
3,Principal Data Scientist,"Charlotte, NC, USA",AccruePartners,Posted 60+ days ago,"Principal Data Scientist in Charlotte, NC Posted 06/13/22 THE TEAM YOU WILL BE JOINING: Fortune 100 Financial Services Company 100-year history of dedication to customer satisfaction, success and growth Tremendous growth and new business strategy leading to the need for new talent Significant investments in cutting-edge technology WHAT THEY OFFER YOU: Culture: Excellent work environment that fosters collaboration Growth: Ability to make an impact on the direction of the organization Opportunity:"
4,Sr. Data Scientist - Full Remote - Fintech,Remote,ADVANTIS Global Services,Posted 60+ days ago,"Sr. DATA SCIENTIST - %100 REMOTE - FINTECH In this position you would be joining the Enterprise Data and Analytics Center of Excellence team with a large Federal Credit Union whose organizational mission is to embrace change utilizing bleeding edge techniques and tools transitioning to a member centric, Lifetime Value Member focused model. Understanding and presenting experimental and predictive models will be an essential part of your day-to-day. You will be working with A/B and multivariate"
5,DATA SCIENTIST - 100% REMOTE (Healthcare Project),Remote,Provish Consulting,Posted 60+ days ago,DATA SCIENTIST (Healthcare project) 100% REMOTE (Multiple Data Scientist and Senior Data Scientists roles available) Position Description This position is responsible for business consulting activities for the Data Strategy and Analytics teams within our client organizations to monitor and assist in improving their analytics eco system. We need someone with a creative problem-solving skills to work on our client’s business opportunities. Our Data Scientist will work to understand high value opp
6,Knowledge Graph Data Scientist,"Bethesda, MD, USA",Leidos,Posted 60+ days ago,"Description Job Description: Are you a Data Scientist that likes to perform research-level data analytics willing to work in Bethesda, MD and at our customer sites in the National Capital Region to support ongoing and future programs to advance the state of the art in mission-focused big data analytics and predictive analytics? You will be delivering cutting edge knowledge graph capabilities to advance national security objectives, swiftly produce and analyze results, disseminate findings, and"
7,Data Scientist,"Chantilly, VA, USA",SAIC,Posted 60+ days ago,"Job ID: 2205359 Location: CHANTILLY , VA , US Date Posted: 2022-04-05 Category: Information Technology Subcategory: Data Scientist Schedule: Full-time Shift: Day Job Travel: No Minimum Clearance Required: TS/SCI with Poly Clearance Level Must Be Able to Obtain: None Potential for Remote Work: No Description SAIC, a leading provider of systems development & deployment, targeting & intelligence analysis, systems engineering & integration, and training capabilities and solutions for the I"
8,Data Scientist AI/ML,"Irving, TX, USA","InfoVision, Inc.",Posted 60+ days ago,"Job Title: Data Scientist AI/ML Job Duration: 12 month Job location: Irving, TX Responsibilities: Develop new AI/ML models with little to no supervision off of data acquired directly from business partners;Mentor other team members and data analytical groups;Take the lead in developing innovative advanced analytical solutions for complex application problems;Position requires the development of advanced graphic visualization concepts to map and simplify the analysis of heavily-numeric data and"
9,IC Data Discovery and Exploitation Scientist,"Chantilly, VA, USA",Aerospace Corporation,Posted 11 days ago,"The Aerospace Corporation is the trusted partner to the nation's space programs, solving the hardest problems and providing unmatched technical expertise. As the operator of a federally funded research and development center (FFRDC), we are broadly engaged across all aspects of space- delivering innovative solutions that span satellite, launch, ground, and cyber systems for defense, civil and commercial customers. When you join our team, you'll be part of a special collection of problem solvers,"
10,Data Scientist,"Springfield, VA, USA","Electronic Consulting Services, Inc (ECS Federal)",Posted 60+ days ago,"ECS is seeking a Data Scientist to work in our Springfield, VA office. Please Note: This position is contingent upon contract award. Job Description: The Contractor shall provide data science services in support of GEOINT analysis. Knowledge of data science, methodologies, and processing techniques shall be employed on behalf of GEOINT analysis and community customers while providing operational support. Individual data scientists shall have applied knowledge in five distinct areas depending on"
11,Lead Data Scientist,Remote,World Wide Technology,Posted 60+ days ago,"Lead Data Scientist Why WWT? Fueled by creativity and ideation, World Wide Technology strives to accelerate our growth and nurture future innovation. From our world class culture, to our generous benefits, to developing cutting edge technology solutions, WWT constantly works towards its mission of creating a profitable growth company that is a great place to work for all. We encourage our employees to embrace collaboration, get creative and think outside the box when it comes to delivering some"
12,Data Scientist,"Sterling, VA, USA",Adtech,Posted 60+ days ago,"Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of “big data” solutions to promote efficient trade and travel. Further, effective “big data” solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure. In response to this chal"
13,Data Scientist,Remote,World Wide Technology,Posted 60+ days ago,"Why WWT? Fueled by creativity and ideation, World Wide Technology strives to accelerate our growth and nurture future innovation. From our world class culture, to our generous benefits, to developing cutting edge technology solutions, WWT constantly works towards its mission of creating a profitable growth company that is a great place to work. We encourage our employees to embrace collaboration, get creative and think outside the box when it comes to delivering some of the most advanced technol"
14,Senior Staff Data Scientist - Remote,"Minden, NV, USA",Baker Hughes Energy Services LLC,Posted 60+ days ago,"Do you like to work for a forward-thinking technology company? Do you enjoy technical challenges? Join our growing team We are the leader in well construction and production. Our innovative physical and digital solutions improve efficiency, production and maximize reservoir value. Partner with the best Troubleshoot, test, assemble, disassemble, and perform a visual inspection of electro-mechanical assemblies. Assist in reworking, repairing, and modifying non-conforming equipment. Perform co"
15,Sr. Data Scientist,Remote,World Wide Technology,Posted 60+ days ago,"Why WWT? Fueled by creativity and ideation, World Wide Technology strives to accelerate our growth and nurture future innovation. From our world class culture, to our generous benefits, to developing cutting edge technology solutions, WWT constantly works towards its mission of creating a profitable growth company that is a great place to work. We encourage our employees to embrace collaboration, get creative and think outside the box when it comes to delivering some of the most advanced technol"
16,Data Scientist,Remote,CitiusTech,Posted 60+ days ago,"Mandatory Skills : Python programming Distributed computing framework (e.g., Spark engine, pySpark) Microsoft Azure data science/engineering tech stack (Azure data factory, Azure ML studio, Azure DevOps etc.) Building tree-based ensemble models, neural network models Use of version control techniques (e.g., git) Desired Skills : Databricks platform Distributed machine learning framework Building model endpoints using containers Use of agile methodology for DS project Experience with customer e"
17,Data Scientist,"Dearborn, MI, USA",Systems Technology Group Inc. (STG),Posted 60+ days ago,"Title: Data Scientist Description: STG is a fast-growing Digital Transformation services company providing Fortune 500 companies with Digital Transformation, Mobility, Analytics and Cloud Integration services in both information technology and engineering product lines. STG has a 98% repeat business rate from existing clients and have achieved industry awards and recognition for our services. Crain’s Detroit Business named STG to Michigan’s Fastest Growing Companies list in both 2020 and 2019,"
18,"Lead Data Scientist, Strategic Insurance Businesses",Remote,New York Life Insurance Company,Posted 60+ days ago,"Location Designation: Hybrid When you join New York Life, you're joining a company that values career development, collaboration, innovation, and inclusiveness. We want employees to feel proud about being part of a company that is committed to doing the right thing. You'll have the opportunity to grow your career while developing personally and professionally through various resources and programs. New York Life is a relationship-based company and appreciates how both virtual and in-person inter"
19,Data Scientist (Multiple Positions),"Alpharetta, GA, USA",Codeforce 360,Posted 60+ days ago,"Career Opportunity: Job Title: Data Scientist (Multiple Positions) About CodeForce 360 Making a career choice is amongst the most critical choices one can make, and it's important for the choice to be calculated with factors such as a company's run of success since its inception and more. But, when you come across a company that has reputation proven with nothing but an illustrious run of success since the day it began, you don't need to think of anything else. That's precisely what some of ou"
0,Sr Data Scientist with Strong Python,"Remote or Piscataway, NJ, USA","Pyramid Consulting, Inc.",Posted 60+ days ago,"You’ll need to have: Bachelor’s degree or four or more years of work experience.Experience with projects to optimize customer service operations.Experience in leading large scale data science projects and delivering from end to end.Experience with data visualization tools(Tableau, Qlik).Strong technical experience in data wrangling and statistical modeling.The ability to package analysis in clear and concise reports and presentations.Excellent communication skills.Even better if you have Experie"
1,Quantitative Data Scientist,"Houston, TX, USA",Matlen Silver,Posted 60+ days ago,"The leading integrated power company in the U.S., built on the strength of our diverse competitive electric generation portfolio and leading retail electricity platform. A Fortune 500 company, we create value through best-in-class operations, reliable and efficient electric generation, and a retail platform serving residential and commercial businesses. Working with electricity customers large and small, we implement sustainable solutions for producing and managing energy, developing smarter ene"
2,"Data Scientist @ Redwood City, California, United States,94063","Redwood City, CA, USA",Futran Solutions,Posted 60+ days ago,"We are seeking a bioinformatics scientist to work as part of our Predictive Sciences team in the San Francisco Bay Area. This scientist will use computational approaches to explore single-cell and bulk RNAseq data to derive biological insights on tumor microenvironments. These insights will be used to help identify drug targets and patient populations that can guide drug discovery and development decisions. The position is fully remote. This is a contract position, anticipated to last 6-9 month"
3,Principal Data Scientist,"Atlanta, GA, USA",Matlen Silver,Posted 60+ days ago,"Title: Principal Data Scientist Duration: 6 month Contract to Hire Location: Norfolk VA, Atlanta GA or Miami Fl (will be ONSITE) Our client is in need of a Principal Data Scientist to help define BI strategy, BI toolset, Data Ingestion & Descriptive Insights for key Digital Transformation Initiatives. Requirements 5+ years of experience leading and managing BI technologies and Analytics teamsExperience with Data Visualization tools like Tableau, Power BI or QlikExperience with Data Integration"
4,Data Scientists Analysts,"Dearborn, MI, USA",HTC Global Services,Posted 12 days ago,"HTC Global Services wants you. Come build new things with us and advance your career. At HTC Global you'll collaborate with experts. You'll join successful teams contributing to our clients' success. You'll work side by side with our clients and have long-term opportunities to advance your career with the latest emerging technologies. At HTC Global Services our consultants have access to a comprehensive benefits package. Benefits can include Paid-Time-Off, Paid Holidays, 401K matching, Life an"
5,Data Scientists Analysts,"Dearborn, MI, USA",HTC Global Services,Posted 12 days ago,"HTC Global Services wants you. Come build new things with us and advance your career. At HTC Global you'll collaborate with experts. You'll join successful teams contributing to our clients' success. You'll work side by side with our clients and have long-term opportunities to advance your career with the latest emerging technologies. At HTC Global Services our consultants have access to a comprehensive benefits package. Benefits can include Paid-Time-Off, Paid Holidays, 401K matching, Life an"
6,Senior Data Scientist,Remote,World Wide Technology,Posted 60+ days ago,"Senior Data Scientist Why WWT? Fueled by creativity and ideation, World Wide Technology strives to accelerate our growth and nurture future innovation. From our world class culture, to our generous benefits, to developing cutting edge technology solutions, WWT constantly works towards its mission of creating a profitable growth company that is a great place to work for all. We encourage our employees to embrace collaboration, get creative and think outside the box when it comes to delivering s"
7,Data Scientist,"Livermore, CA, USA",Lawrence Livermore National Laboratory,Posted 60+ days ago,"Company Description Join us and make YOUR mark on the World! Are you interested in joining some of the brightest talent in the world to strengthen the United States' security? Come join Lawrence Livermore National Laboratory (LLNL) where our employees apply their expertise to create solutions for BIG ideas that make our world a better place. We are committed to a diverse and equitable workforce with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, e"
8,Data Scientist,Remote,World Wide Technology,Posted 60+ days ago,"DATA SCIENTIST Why WWT? Fueled by creativity and ideation, World Wide Technology strives to accelerate our growth and nurture future innovation. From our world class culture, to our generous benefits, to developing cutting edge technology solutions, WWT constantly works towards its mission of creating a profitable growth company that is a great place to work for all. We encourage our employees to embrace collaboration, get creative and think outside the box when it comes to delivering some of"
9,Data Scientist,"Chantilly, VA, USA",Josef Group,Posted 60+ days ago,"Data Scientist Leverages data science and NLP tools to organize, triage, normalize, and/or interpret diverse data for further analysis by subject matter experts. Designs, develops, and implements data science solutions. Experiments with emerging data science principles to develop new tools for finding insights in complex data (e.g. custom fuzzy matching and the use of regular expressions). Prepares quick-turn reports and provides input to finished reports. Builds and maintains data science tools"
